trp_multiplayer_profile_troop_male|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_male_pl|联 机 男 性 玩 家 角 色 
trp_multiplayer_profile_troop_female|联 机 女 性 玩 家 角 色 
trp_multiplayer_profile_troop_female_pl|联 机 女 性 玩 家 角 色 
trp_temp_troop|Temp Troop 
trp_temp_troop_pl|Temp Troop 
trp_find_item_cheat|find item cheat 
trp_find_item_cheat_pl|find item cheat 
trp_random_town_sequence|Random Town Sequence 
trp_random_town_sequence_pl|Random Town Sequence 
trp_tournament_participants|竞 技 场 选 手 
trp_tournament_participants_pl|竞 技 场 选 手 
trp_tutorial_maceman|锤 子 手 
trp_tutorial_maceman_pl|锤 子 手 
trp_tutorial_archer|弓 箭 手 
trp_tutorial_archer_pl|弓 箭 手 
trp_tutorial_swordsman|剑 士 
trp_tutorial_swordsman_pl|剑 士 
trp_novice_fighter|初 级 斗 士 
trp_novice_fighter_pl|初 级 斗 士 
trp_regular_fighter|正 规 斗 士 
trp_regular_fighter_pl|正 规 斗 士 
trp_veteran_fighter|资 深 斗 士 
trp_veteran_fighter_pl|资 深 斗 士 
trp_champion_fighter|精 英 斗 士 
trp_champion_fighter_pl|精 英 斗 士 
trp_arena_training_fighter_1|初 级 斗 士 
trp_arena_training_fighter_1_pl|初 级 斗 士 
trp_arena_training_fighter_2|初 级 斗 士 
trp_arena_training_fighter_2_pl|初 级 斗 士 
trp_arena_training_fighter_3|正 规 斗 士 
trp_arena_training_fighter_3_pl|正 规 斗 士 
trp_arena_training_fighter_4|正 规 斗 士 
trp_arena_training_fighter_4_pl|正 规 斗 士 
trp_arena_training_fighter_5|正 规 斗 士 
trp_arena_training_fighter_5_pl|正 规 斗 士 
trp_arena_training_fighter_6|资 深 斗 士 
trp_arena_training_fighter_6_pl|资 深 斗 士 
trp_arena_training_fighter_7|资 深 斗 士 
trp_arena_training_fighter_7_pl|资 深 斗 士 
trp_arena_training_fighter_8|资 深 斗 士 
trp_arena_training_fighter_8_pl|资 深 斗 士 
trp_arena_training_fighter_9|精 英 斗 士 
trp_arena_training_fighter_9_pl|精 英 斗 士 
trp_arena_training_fighter_10|精 英 斗 士 
trp_arena_training_fighter_10_pl|精 英 斗 士 
trp_cattle|牛 
trp_cattle_pl|牛 
trp_farmer|农 民 
trp_farmer_pl|农 民 
trp_townsman|市 民 
trp_townsman_pl|市 民 
trp_watchman|雇 佣 哨 兵 
trp_watchman_pl|雇 佣 哨 兵 
trp_caravan_guard|商 队 护 卫 
trp_caravan_guard_pl|商 队 护 卫 
trp_mercenary_swordsman|雇 佣 剑 士 
trp_mercenary_swordsman_pl|雇 佣 剑 士 
trp_hired_blade|职 业 武 士 
trp_hired_blade_pl|职 业 武 士 
trp_mercenary_crossbowman|雇 佣 弩 手 
trp_mercenary_crossbowman_pl|雇 佣 弩 手 
trp_mercenary_horseman|雇 佣 骑 手 
trp_mercenary_horseman_pl|雇 佣 骑 手 
trp_mercenary_cavalry|雇 佣 骑 兵 
trp_mercenary_cavalry_pl|雇 佣 骑 兵 
trp_mercenaries_end|mercenaries end 
trp_mercenaries_end_pl|mercenaries end 
trp_swadian_recruit|斯 瓦 迪 亚 新 兵 
trp_swadian_recruit_pl|斯 瓦 迪 亚 新 兵 
trp_swadian_militia|斯 瓦 迪 亚 民 兵 
trp_swadian_militia_pl|斯 瓦 迪 亚 民 兵 
trp_swadian_footman|斯 瓦 迪 亚 轻 步 兵 
trp_swadian_footman_pl|斯 瓦 迪 亚 轻 步 兵 
trp_swadian_infantry|斯 瓦 迪 亚 步 兵 
trp_swadian_infantry_pl|斯 瓦 迪 亚 步 兵 
trp_swadian_sergeant|斯 瓦 迪 亚 军 士 
trp_swadian_sergeant_pl|斯 瓦 迪 亚 军 士 
trp_swadian_skirmisher|斯 瓦 迪 亚 游 击 射 手 
trp_swadian_skirmisher_pl|斯 瓦 迪 亚 游 击 射 手 
trp_swadian_crossbowman|斯 瓦 迪 亚 弩 手 
trp_swadian_crossbowman_pl|斯 瓦 迪 亚 弩 手 
trp_swadian_sharpshooter|斯 瓦 迪 亚 神 射 手 
trp_swadian_sharpshooter_pl|斯 瓦 迪 亚 神 射 手 
trp_swadian_man_at_arms|斯 瓦 迪 亚 重 骑 兵 
trp_swadian_man_at_arms_pl|斯 瓦 迪 亚 重 骑 兵 
trp_swadian_knight|斯 瓦 迪 亚 骑 士 
trp_swadian_knight_pl|斯 瓦 迪 亚 骑 士 
trp_swadian_messenger|斯 瓦 迪 亚 传 令 兵 
trp_swadian_messenger_pl|斯 瓦 迪 亚 传 令 兵 
trp_swadian_deserter|斯 瓦 迪 亚 逃 兵 
trp_swadian_deserter_pl|斯 瓦 迪 亚 逃 兵 
trp_swadian_prison_guard|监 狱 守 卫 
trp_swadian_prison_guard_pl|监 狱 守 卫 
trp_swadian_castle_guard|城 堡 护 卫 
trp_swadian_castle_guard_pl|城 堡 护 卫 
trp_vaegir_recruit|维 吉 亚 新 兵 
trp_vaegir_recruit_pl|维 吉 亚 新 兵 
trp_vaegir_footman|维 吉 亚 轻 步 兵 
trp_vaegir_footman_pl|维 吉 亚 轻 步 兵 
trp_vaegir_skirmisher|维 吉 亚 游 击 射 手 
trp_vaegir_skirmisher_pl|维 吉 亚 游 击 射 手 
trp_vaegir_archer|维 吉 亚 弓 箭 手 
trp_vaegir_archer_pl|维 吉 亚 弓 箭 手 
trp_vaegir_marksman|维 吉 亚 神 箭 手 
trp_vaegir_marksman_pl|维 吉 亚 神 箭 手 
trp_vaegir_veteran|维 吉 亚 资 深 士 兵 
